no_can;chapitre;designation
585 841 431;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne jusqu'à 5m
585 841 432;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 5 à 10m
585 841 433;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 10 à 15m
585 841 434;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 15 à 20m
585 841 435;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 20 à 25m
585 841 436;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 25 à 30m
585 841 437;585;Ligne avec prise CEE IPX4 400V 16A, depuis ensemble d'appareillage, pour tubes déjà existants, longueur de ligne plus de 30 à 35m
585 931 111;585;Ligne pour moteur de store (raccordement)
585 931 112;585;Ligne pour moteur de store (raccordement)
586 211 421;586;Introduction télécom avec
586 214 411;586;Ligne alimentation DSL avec
586 214 511;586;Ligne alimentation FTTx
586 214 617;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, longueur de ligne jusqu'à 10m
586 214 621;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, longueur de ligne plus de 70 à 80m
586 214 622;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, longueur de ligne plus de 80 à 90m
586 214 623;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, longueur de ligne plus de 90 à 100m
586 214 637;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, pour tubes déjà existants, longueur de ligne jusqu'à 10m
586 214 641;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, pour tubes déjà existants, longueur de ligne plus de 70 à 80m
586 214 642;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, pour tubes déjà existants, longueur de ligne plus de 80 à 90m
