categorie;ensemble;couleur;code_couleur;fnr_complet;e_no_complet;designation_complet;piece;qte;fnr_piece;e_no_piece;designation_piece
PRISE;Prise 3xT13;coffee;57;87303.FMI.57;657115890;Prise ENC EDIZIOdue 3×T13 coffee;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13;coffee;57;87303.FMI.57;657115890;Prise ENC EDIZIOdue 3×T13 coffee;kit_frontal;1;920-87303.FMI.57;378503890;Kit frontal EDIZIOdue coffee 88×88mm 3×T13
PRISE;Prise 3xT13 avec shutter;blanc;61;87303.FMI.K.61;657125000;Prise ENC EDIZIOdue 3×T13 blanc avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;blanc;61;87303.FMI.K.61;657125000;Prise ENC EDIZIOdue 3×T13 blanc avec shutter;kit_frontal;1;920-87303.FMI.K.61;378513000;Kit frontal EDIZIOdue blanc 88×88mm 3×T13 avec shutter
PRISE;Prise 3xT13 avec shutter;noir;60;87303.FMI.K.60;657125950;Prise ENC EDIZIOdue 3×T13 noir avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;noir;60;87303.FMI.K.60;657125950;Prise ENC EDIZIOdue 3×T13 noir avec shutter;kit_frontal;1;920-87303.FMI.K.60;378513950;Kit frontal EDIZIOdue noir 88×88mm 3×T13 avec shutter
PRISE;Prise 3xT13 avec shutter;crema;35;87303.FMI.K.35;657125010;Prise ENC EDIZIOdue 3×T13 crema, avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;crema;35;87303.FMI.K.35;657125010;Prise ENC EDIZIOdue 3×T13 crema, avec shutter;kit_frontal;1;920-87303.FMI.K.35;378513010;Kit frontal EDIZIOdue crema 88×88mm 3×T13 avec shutter
PRISE;Prise 3xT13 avec shutter;gris clair;65;87303.FMI.K.65;657125030;Prise ENC EDIZIOdue 3×T13 gris clair, avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;gris clair;65;87303.FMI.K.65;657125030;Prise ENC EDIZIOdue 3×T13 gris clair, avec shutter;kit_frontal;1;920-87303.FMI.K.65;378513030;Kit frontal EDIZIOdue gris clair 88×88mm 3×T13 avec shutter
