fnr;e_no;designation;code_couleur;ean;article_suivi_snapfix
87123.F.67;639611040;Prise ENC EDIZIOdue T23 16A gris foncé, bornes à vis;67;7611386785912;
87123.FKE.35;753611010;Prise INC EDIZIOdue T23 16A crema, bornes à vis;35;7611386654591;
87123.FKE.39;753611960;Prise INC EDIZIOdue T23 16A orange, bornes à vis;39;7611386954059;
87123.FKE.53.35;753623010;Prise INC EDIZIOdue T23 16A crema 53mm, bornes à vis;35;7611386654607;
87123.FKE.53.39;753623960;Prise INC EDIZIOdue T23 16A orange 53mm, bornes à vis;39;7611386954066;
87123.FKE.53.57;753623890;Prise INC EDIZIOdue T23 16A coffee 53mm, bornes à vis;57;7611386717791;
87123.FKE.53.60;753623950;Prise INC EDIZIOdue T23 16A noir 53mm, bornes à vis;60;7611386786001;
87123.FKE.53.61;753623000;Prise INC EDIZIOdue T23 16A blanc 53mm, bornes à vis;61;7611386835594;
87123.FKE.53.65;753623030;Prise INC EDIZIOdue T23 16A gris clair 53mm, bornes à vis;65;7611386786018;
87123.FKE.53.67;753623040;Prise INC EDIZIOdue T23 16A gris foncé 53mm, bornes à vis;67;7611386786025;
87123.FKE.53.FK.L1.35;753607010;Prise INC EDIZIOdue T23 L1 crema 49…69mm pour câble plat Technofil;35;7611386654645;
87123.FKE.53.FK.L1.39;753607960;Prise INC EDIZIOdue T23 L1 orange 49…69mm pour câble plat Technofil;39;7611386954103;
87123.FKE.53.FK.L1.57;753607890;Prise INC EDIZIOdue T23 L1 coffee 49…69mm pour câble plat Technofil;57;7611386717814;
